FoodID,FoodGroups,FoodName,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat,GulaTotal,Kalsium,Besi,Magnesium,Fosfor,Kalium,Natrium,Seng,Tembaga,Mangan,Selenium,VitaminC,Tiamina,Riboflavin,Niasin,Pantotenat,VitaminB6,FolatTotal,Kolina,VitaminB12,VitaminA-IU,VitaminA-RAE,Retinol,AlphaKaroten,BetaKaroten,BetaKriptosantin,Likopen,ZeaksantinLutein,VitaminE,VitaminD,VitaminD-IU,VitaminK,LemakJenuh,LemakTunggal,LemakGanda,Kolesterol,Source
27,Buah dan Jus,Apel mentah tanpa kulit,"86,67","48,00","0,27","0,13","0,17","12,76","1,30","10,10","5,00","0,07","4,00","11,00","90,00",,"0,05","0,03","0,04",,"4,00","0,02","0,03","0,09","0,07","0,04",,"3,00",,"38,00","2,00",,,"17,00","13,00",,"18,00","0,05",,,"0,60","0,02","0,01","0,04",,USDA
28,Buah dan Jus,Apel mentah tanpa kulit dimasak direbus,"85,47","53,00","0,26","0,36","0,28","13,64","2,40","11,01","5,00","0,19","3,00","8,00","88,00","1,00","0,04","0,04","0,12","0,30","0,20","0,02","0,01","0,10","0,05","0,04","1,00","3,00",,"44,00","2,00",,,"19,00","14,00",,"19,00","0,05",,,"0,60","0,06","0,01","0,10",,USDA
29,Buah dan Jus,Apel mentah tanpa kulit dimasak microwave,"84,63","56,00","0,28","0,42","0,26","14,41","2,80","11,61","5,00","0,17","3,00","8,00","93,00","1,00","0,04","0,05","0,14","0,30","0,30","0,02","0,01","0,06","0,05","0,05","1,00","3,00",,"40,00","2,00",,,"17,00","13,00",,"21,00","0,05",,,"0,70","0,07","0,02","0,12",,USDA
30,Buah dan Jus,Apelgula (permen) mentah,"73,23","94,00","2,06","0,29","0,78","23,64","4,40",,"24,00","0,60","21,00","32,00","247,00","9,00","0,10","0,09",,"0,60","36,30","0,11","0,11","0,88","0,23","0,20","14,00",,,"6,00",,,,,,,,,,,,"0,05","0,11","0,04",,USDA
31,Buah dan Jus,Aprikot nektar kaleng dengan tambahan asam askorbat,"84,87","56,00","0,37","0,09","0,29","14,39","0,60","13,24","7,00","0,38","5,00","9,00","114,00","3,00","0,09","0,07","0,03","0,20","17,60","0,01","0,01","0,26","0,10","0,02","1,00",,,"1.316,00","66,00",,,,,,,,,,,"0,01","0,04","0,02",,USDA
32,Buah dan Jus,Aprikot nektar kaleng tanpa ditambahkan asam askorbat,"84,87","56,00","0,37","0,09","0,29","14,39","0,60","13,79","7,00","0,38","5,00","9,00","114,00","3,00","0,09","0,07","0,03",,"0,60","0,01","0,01","0,26","0,10","0,02","1,00","1,00",,"1.316,00","66,00",,,"786,00","7,00",,"14,00","0,31",,,"1,20","0,01","0,04","0,02",,USDA
33,Buah dan Jus,Aprikot beku manis,"73,30","98,00","0,70","0,10","0,80","25,10","2,20",,"10,00","0,90","9,00","19,00","229,00","4,00","0,10","0,06","0,05","0,40","9,00","0,02","0,04","0,80","0,20","0,06","2,00",,,"1.680,00","84,00",,,,,,,,,,,"0,01","0,04","0,02",,USDA
34,Buah dan Jus,Aprikot dehidrasi (kelembaban rendah) tersulfur direbus,"63,60","126,00","1,93","0,24","1,61","32,62",,,"24,00","2,48","25,00","62,00","728,00","5,00","0,39","0,23","0,15",,"7,10","0,01","0,07","1,63","0,47","0,16","2,00",,,"4.407,00","220,00",,,,,,,,,,,"0,02","0,11","0,05",,USDA
35,Buah dan Jus,Aprikot dehidrasi (kelembaban rendah) tersulfur tidak dimasak,"7,50","320,00","4,90","0,62","4,09","82,89",,,"61,00","6,31","63,00","157,00","1.850,00","13,00","1,00","0,58","0,37",,"9,50","0,04","0,15","3,58","1,07","0,52","4,00",,,"12.669,00","633,00",,,,,,,,,,,"0,04","0,27","0,12",,USDA
36,Buah dan Jus,Aprikot dikeringkan disulfur direbus dengan tambahan gula,"68,45","113,00","1,17","0,15","0,98","29,26","4,10",,"15,00","1,52","15,00","38,00","443,00","3,00","0,24","0,14","0,09",,"1,40","0,01","0,03","0,85","0,19","0,10",,,,"2.139,00","107,00",,,,,,,,,,,"0,01","0,06","0,03",,USDA
37,Buah dan Jus,Aprikot dikeringkan tersulfur direbus tanpa tambahan gula,"75,56","85,00","1,20","0,18","0,91","22,15","2,60","19,57","19,00","0,94","11,00","25,00","411,00","4,00","0,14","0,12","0,08","0,80","0,30","0,01","0,03","0,92","0,21","0,05","3,00","5,00",,"1.275,00","64,00",,,"765,00",,,,"1,53",,,"1,10","0,01","0,03","0,03",,USDA
38,Buah dan Jus,Aprikot dikeringkan tersulfur tidak dimasak,"30,89","241,00","3,39","0,51","2,57","62,64","7,30","53,44","55,00","2,66","32,00","71,00","1.162,00","10,00","0,39","0,34","0,24","2,20","1,00","0,02","0,07","2,59","0,52","0,14","10,00","14,00",,"3.604,00","180,00",,,"2.163,00",,,,"4,33",,,"3,10","0,02","0,07","0,07",,USDA
39,Buah dan Jus,Aprikot kaleng kemasan air dengan kulit padatan dan cairan,"92,36","27,00","0,71","0,16","0,38","6,39","1,60","4,79","8,00","0,32","7,00","13,00","192,00","3,00","0,11","0,08","0,05","0,10","3,40","0,02","0,02","0,40","0,09","0,05","2,00","2,00",,"1.959,00","98,00",,,"1.170,00","11,00",,"26,00","0,60",,,"2,20","0,01","0,07","0,03",,USDA
40,Buah dan Jus,Aprikot kaleng kemasan sirup berat tanpa kulit padatan dan cairan,"77,66","83,00","0,51","0,09","0,29","21,45","1,60",,"9,00","0,43","8,00","13,00","134,00","11,00","0,10","0,07","0,05",,"2,80","0,02","0,02","0,42","0,09","0,05","2,00",,,"1.240,00","62,00",,,,,,,,,,,"0,01","0,04","0,02",,USDA
41,Buah dan Jus,Aprikot kaleng kemasan sirup ringan dengan kulit padatan dan cairan,"86,30","49,00","0,60","0,10","0,50","12,50","1,60",,"10,00","0,30","6,00","12,00","140,00","2,00","0,08","0,04","0,05",,"4,00","0,02","0,02","0,60","0,09","0,05","2,00",,,"1.271,00","64,00",,,,,,,,,,,"0,01","0,04","0,02",,USDA
42,Buah dan Jus,Aprikot kaleng paket air tanpa kulit padatan dan cairan,"93,43","22,00","0,69","0,03","0,38","5,48","1,10",,"8,00","0,54","9,00","16,00","154,00","11,00","0,11","0,07","0,05",,"1,80","0,02","0,02","0,44","0,09","0,05","2,00",,,"1.810,00","91,00",,,,,,,,,,,"0,00","0,01","0,01",,USDA
43,Buah dan Jus,Aprikot kaleng paket jus dengan kulit padatan dan cairan,"86,62","48,00","0,63","0,04","0,37","12,34","1,60","10,74","12,00","0,30","10,00","20,00","165,00","4,00","0,11","0,05","0,05","0,10","4,90","0,02","0,02","0,34","0,09","0,05","2,00","2,00",,"1.691,00","85,00",,,"1.010,00","10,00",,"26,00","0,60",,,"2,20","0,00","0,02","0,01",,USDA
44,Buah dan Jus,Aprikot kaleng paket sirup berat dengan kulit padatan dan cairan,"77,56","83,00","0,53","0,08","0,37","21,47","1,60","19,87","9,00","0,30","7,00","12,00","140,00","4,00","0,11","0,08","0,05","0,10","3,10","0,02","0,02","0,38","0,09","0,05","2,00","2,00",,"1.230,00","62,00",,,"735,00","7,00",,"26,00","0,60",,,"2,20","0,01","0,03","0,02",,USDA
45,Buah dan Jus,Aprikot kaleng paket sirup ekstra berat tanpa kulit padatan dan cairan,"74,33","96,00","0,55","0,04","0,23","24,85","1,60",,"8,00","0,62","8,00","15,00","126,00","13,00","0,10","0,06","0,05",,"2,40","0,02","0,02","0,34","0,09","0,05","2,00",,,"1.471,00","74,00",,,,,,,,,,,"0,00","0,02","0,01",,USDA
46,Buah dan Jus,Aprikot kaleng paket sirup ringan dengan kulit padatan dan cairan,"82,56","63,00","0,53","0,05","0,37","16,49","1,60","14,89","11,00","0,39","8,00","13,00","138,00","4,00","0,11","0,08","0,05","0,10","2,70","0,02","0,02","0,30","0,09","0,05","2,00","2,00",,"1.322,00","66,00",,,"789,00","7,00",,"26,00","0,60",,,"2,20","0,00","0,02","0,01",,USDA
47,Buah dan Jus,Aprikot kaleng sirup berat dikeringkan,"77,56","83,00","0,64","0,11","0,38","21,31","2,70","18,65","10,00","0,30","7,00","13,00","143,00","4,00","0,11","0,10",,"0,10","3,10","0,02","0,02","0,38",,"0,06","2,00","3,00",,"2.924,00","146,00",,,"1.746,00","16,00",,"39,00","0,89",,,"3,30","0,01","0,05","0,02",,USDA
48,Buah dan Jus,Aprikot mentah,"86,35","48,00","1,40","0,39","0,75","11,12","2,00","9,24","13,00","0,39","10,00","23,00","259,00","1,00","0,20","0,08","0,08","0,10","10,00","0,03","0,04","0,60","0,24","0,05","9,00","3,00",,"1.926,00","96,00",,"19,00","1.094,00","104,00",,"89,00","0,89",,,"3,30","0,03","0,17","0,08",,USDA
49,Buah dan Jus,Asam jawa mentah,"31,40","239,00","2,80","0,60","2,70","62,50","5,10","38,80","74,00","2,80","92,00","113,00","628,00","28,00","0,10","0,09",,"1,30","3,50","0,43","0,15","1,94","0,14","0,07","14,00","9,00",,"30,00","2,00",,,"18,00",,,,"0,10",,,"2,80","0,27","0,18","0,06",,USDA
50,Buah dan Jus,Asam nectar kalengan,"84,97","57,00","0,09","0,12","0,09","14,73","0,50","12,70","10,00","0,75","4,00","2,00","27,00","7,00","0,02","0,01","0,02",,"7,10","0,00","0,00","0,07","0,04","0,01","1,00","1,00",,,,,,,,,,"0,12",,,"0,10",,,,,USDA
51,Buah dan Jus,Belimbing Manis (Carambola) mentah,"91,38","31,00","1,04","0,33","0,52","6,73","2,80","3,98","3,00","0,08","10,00","12,00","133,00","2,00","0,12","0,14","0,04","0,60","34,40","0,01","0,02","0,37","0,39","0,02","12,00","8,00",,"61,00","3,00",,"24,00","25,00",,,"66,00","0,15",,,,"0,02","0,03","0,18",,USDA
52,Buah dan Jus,Bidara dikeringkan,"20,19","281,00","4,72","0,50","2,08","72,52","6,00",,"63,00","5,09",,"68,00","217,00","5,00","0,39","0,23","31,07",,"217,60","0,05","0,05",,,,,,,,,,,,,,,,,,,,,,,USDA
53,Buah dan Jus,Bidara mentah,"77,86","79,00","1,20","0,20","0,51","20,23",,,"21,00","0,48","10,00","23,00","250,00","3,00","0,05","0,07","0,08",,"69,00","0,02","0,04","0,90",,"0,08",,,,"40,00","2,00",,,,,,,,,,,,,,,USDA
54,Buah dan Jus,Blackberry beku tanpa pemanis,"82,21","64,00","1,18","0,43","0,51","15,67","5,00","10,67","29,00","0,80","22,00","30,00","140,00","1,00","0,25","0,12","1,22","0,40","3,10","0,03","0,05","1,21","0,15","0,06","34,00","9,00",,"114,00","6,00",,,"68,00",,,"118,00","1,17",,,"19,80","0,02","0,04","0,25",,USDA
55,Buah dan Jus,Blackberry kaleng sirup padatan dan cairan,"75,06","92,00","1,31","0,14","0,39","23,10","3,40","19,70","21,00","0,65","17,00","14,00","99,00","3,00","0,18","0,13","0,70","0,30","2,80","0,03","0,04","0,29","0,15","0,04","27,00","6,00",,"219,00","11,00",,,"131,00",,,"79,00","0,78",,,"13,30","0,01","0,01","0,08",,USDA
56,Buah dan Jus,Blackberry mentah,"88,15","43,00","1,39","0,49","0,37","9,61","5,30","4,88","29,00","0,62","20,00","22,00","162,00","1,00","0,53","0,17","0,65","0,40","21,00","0,02","0,03","0,65","0,28","0,03","25,00","9,00",,"214,00","11,00",,,"128,00",,,"118,00","1,17",,,"19,80","0,01","0,05","0,28",,USDA
57,Buah dan Jus,Blewah mentah,"90,15","34,00","0,84","0,19","0,65","8,16","0,90","7,86","9,00","0,21","12,00","15,00","267,00","16,00","0,18","0,04","0,04","0,40","36,70","0,04","0,02","0,73","0,11","0,07","21,00","8,00",,"3.382,00","169,00",,"16,00","2.020,00","1,00",,"26,00","0,05",,,"2,50","0,05","0,00","0,08",,USDA
58,Buah dan Jus,Blueberry beku manis,"77,40","85,00","0,40","0,13","0,12","21,95","2,20","19,72","6,00","0,39","2,00","7,00","60,00","1,00","0,06","0,04","0,26","0,20","1,00","0,02","0,05","0,25","0,13","0,06","7,00","6,00",,"49,00","2,00",,,"30,00",,,"73,00","0,52",,,"17,70","0,01","0,02","0,06",,USDA
59,Buah dan Jus,Blueberry beku tanpa pemanis,"86,59","51,00","0,42","0,64","0,18","12,17","2,70","8,45","8,00","0,18","5,00","11,00","54,00","1,00","0,07","0,03","0,15","0,10","2,50","0,03","0,04","0,52","0,13","0,06","7,00","5,00",,"46,00","2,00",,,"28,00",,,"68,00","0,48",,,"16,40","0,05","0,09","0,28",,USDA
60,Buah dan Jus,Blueberry dikeringkan dimaniskan,"14,80","317,00","2,50","2,50","0,73","80,00","7,50","67,50","19,00","0,90","18,00","36,00","214,00","3,00","0,49","0,16",,"0,60","23,80","0,09","0,13","1,15",,"0,15","12,00","19,00",,"141,00","7,00",,,"84,00",,,"208,00","2,35",,,"59,40","0,20","0,41","1,30",,USDA
61,Buah dan Jus,Blueberry kaleng sirup berat padatan dan cairan,"76,78","88,00","0,65","0,33","0,17","22,06","1,60","20,46","5,00","0,33","4,00","10,00","40,00","3,00","0,07","0,05","0,20","0,10","1,10","0,03","0,05","0,11","0,09","0,04","2,00","4,00",,"36,00","2,00",,,"22,00",,,"53,00","0,38",,,"6,40","0,03","0,05","0,14",,USDA
62,Buah dan Jus,Blueberry kaleng sirup ringan tiriskan,"75,72","88,00","1,04","0,40","0,18","22,66","2,60","17,45","6,00","0,43","4,00","12,00","54,00","3,00","0,09","0,05","0,44","0,10","0,50","0,05","0,13","0,36","0,04","0,05","2,00","4,00",,"36,00","2,00",,,"22,00",,,"53,00","1,38",,,"19,90","0,03","0,06","0,19",,USDA
63,Buah dan Jus,Blueberry liar beku,"85,80","57,00",,"0,16","0,19","13,85","4,40",,"17,00","0,58","7,00","13,00","68,00","3,00","0,67",,"2,87",,"1,70","0,03","0,01","0,61",,"0,02",,,,"59,00","3,00",,"2,00","35,00",,,,"0,26",,,,"0,03","0,02","0,09",,USDA
64,Buah dan Jus,Blueberry liar kalengan sirup berat tiriskan,"70,63","107,00","0,56","0,34","0,15","28,32","4,90","19,28","19,00","2,20","6,00","14,00","46,00","1,00","0,12",,"2,30",,"0,30","0,03","0,31","0,47","0,04","0,04","8,00",,,,,,,,,,,,,,"14,80",,,,,USDA
65,Buah dan Jus,Blueberry mentah,"84,21","57,00","0,74","0,33","0,24","14,49","2,40","9,96","6,00","0,28","6,00","12,00","77,00","1,00","0,16","0,06","0,34","0,10","9,70","0,04","0,04","0,42","0,12","0,05","6,00","6,00",,"54,00","3,00",,,"32,00",,,"80,00","0,57",,,"19,30","0,03","0,05","0,15",,USDA
66,Buah dan Jus,Boysenberry beku tanpa pemanis,"85,90","50,00","1,10","0,26","0,54","12,19","5,30","6,89","27,00","0,85","16,00","27,00","139,00","1,00","0,22","0,08","0,55","0,20","3,10","0,05","0,04","0,77","0,25","0,06","63,00","10,00",,"67,00","3,00",,,"40,00",,,"118,00","0,87",,,"7,80","0,01","0,03","0,15",,USDA
67,Buah dan Jus,Boysenberry kaleng sirup berat,"76,26","88,00","0,99","0,12","0,32","22,31","2,60",,"18,00","0,43","11,00","10,00","90,00","3,00","0,19","0,07","0,25","0,40","6,20","0,03","0,03","0,23","0,13","0,04","34,00",,,"40,00","2,00",,,,,,,,,,,"0,00","0,01","0,07",,USDA
68,Buah dan Jus,Buah ara dikeringkan direbus,"69,80","107,00","1,42","0,40","0,80","27,57","4,20","23,35","70,00","0,88","29,00","29,00","294,00","4,00","0,24","0,12","0,22","0,20","4,40","0,01","0,11","0,64","0,13","0,13","1,00","7,00",,"4,00",,,,"3,00",,,"14,00","0,15",,,"6,70","0,06","0,07","0,15",,USDA
69,Buah dan Jus,Buah ara dikeringkan mentah,"30,05","249,00","3,30","0,93","1,86","63,87","9,80","47,92","162,00","2,03","68,00","67,00","680,00","10,00","0,55","0,29","0,51","0,60","1,20","0,09","0,08","0,62","0,43","0,11","9,00","16,00",,"10,00",,,,"6,00",,,"32,00","0,35",,,"15,60","0,14","0,16","0,35",,USDA
70,Buah dan Jus,Buah ara kaleng paket air padatan dan cairan,"85,21","53,00","0,40","0,10","0,30","13,99","2,20","11,79","28,00","0,29","10,00","10,00","103,00","1,00","0,12","0,11","0,09","0,10","1,00","0,02","0,04","0,45","0,07","0,07","2,00","3,00",,"38,00","2,00",,,"23,00",,,"7,00","0,08",,,"3,30","0,02","0,02","0,05",,USDA
71,Buah dan Jus,Buah ara kaleng paket sirup berat padatan dan cairan,"76,33","88,00","0,38","0,10","0,29","22,90","2,20","20,70","27,00","0,28","10,00","10,00","99,00","1,00","0,11","0,11","0,08","0,20","1,00","0,02","0,04","0,43","0,07","0,07","2,00","5,00",,"37,00","2,00",,,"22,00",,,"11,00","0,12",,,"5,30","0,02","0,02","0,05",,USDA
72,Buah dan Jus,Buah ara kaleng paket sirup ekstra berat padatan dan cairan,"71,39","107,00","0,38","0,10","0,28","27,86",,,"26,00","0,28","10,00","10,00","97,00","1,00","0,11","0,10","0,08",,"1,00","0,02","0,04","0,42","0,07",,,,,"36,00","2,00",,,,,,,,,,,"0,02","0,02","0,05",,USDA
73,Buah dan Jus,Buah ara kaleng paket sirup ringan padatan dan cairan,"81,26","69,00","0,39","0,10","0,30","17,95","1,80","16,15","27,00","0,29","10,00","10,00","102,00","1,00","0,11","0,11","0,09","0,20","1,00","0,02","0,04","0,44","0,07","0,07","2,00","4,00",,"37,00","2,00",,,"22,00",,,"8,00","0,10",,,"4,20","0,02","0,02","0,05",,USDA
74,Buah dan Jus,Buah ara mentah,"79,11","74,00","0,75","0,30","0,66","19,18","2,90","16,26","35,00","0,37","17,00","14,00","232,00","1,00","0,15","0,07","0,13","0,20","2,00","0,06","0,05","0,40","0,30","0,11","6,00","5,00",,"142,00","7,00",,,"85,00",,,"9,00","0,11",,,"4,70","0,06","0,07","0,14",,USDA
