FoodID,FoodGroups,FoodName,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat,GulaTotal,Kalsium,Besi,Magnesium,Fosfor,Kalium,Natrium,Seng,Tembaga,Mangan,Selenium,VitaminC,Tiamina,Riboflavin,Niasin,Pantotenat,VitaminB6,FolatTotal,Kolina,VitaminB12,VitaminA-IU,VitaminA-RAE,Retinol,AlphaKaroten,BetaKaroten,BetaKriptosantin,Likopen,ZeaksantinLutein,VitaminE,VitaminD,VitaminD-IU,VitaminK,LemakJenuh,LemakTunggal,LemakGanda,Kolesterol,Source
33,Buah dan Jus,Aprikot beku manis,"73,3",98,"0,7","0,1","0,8","25,1","2,2",,10,"0,9",9,19,229,4,"0,1","0,064","0,05","0,4",9,"0,02","0,04","0,8","0,2","0,06",2,,,1.680,84,,,,,,,,,,,"0,007","0,044","0,02",,USDA
34,Buah dan Jus,Aprikot dehidrasi (kelembaban rendah) tersulfur direbus,"63,6",126,"1,93","0,24","1,61","32,62",,,24,"2,48",25,62,728,5,"0,39","0,227","0,145",,"7,1","0,013","0,067","1,63","0,468","0,161",2,,,4.407,220,,,,,,,,,,,"0,017","0,105","0,047",,USDA
35,Buah dan Jus,Aprikot dehidrasi (kelembaban rendah) tersulfur tidak dimasak,"7,5",320,"4,9","0,62","4,09","82,89",,,61,"6,31",63,157,1.850,13,1,"0,576","0,369",,"9,5","0,043","0,148","3,58","1,067","0,52",4,,,12.669,633,,,,,,,,,,,"0,043","0,268","0,121",,USDA
36,Buah dan Jus,Aprikot dikeringkan disulfur direbus dengan tambahan gula,"68,45",113,"1,17","0,15","0,98","29,26","4,1",,15,"1,52",15,38,443,3,"0,24","0,138","0,088",,"1,4","0,005","0,027","0,853","0,191","0,103",,,,2.139,107,,,,,,,,,,,"0,01","0,064","0,029",,USDA
37,Buah dan Jus,Aprikot dikeringkan tersulfur direbus tanpa tambahan gula,"75,56",85,"1,2","0,18","0,91","22,15","2,6","19,57",19,"0,94",11,25,411,4,"0,14","0,121","0,083","0,8","0,3","0,005","0,026","0,915","0,211","0,051",3,5,,1.275,64,,,765,,,,"1,53",,,"1,1","0,006","0,026","0,026",,USDA
38,Buah dan Jus,Aprikot dikeringkan tersulfur tidak dimasak,"30,89",241,"3,39","0,51","2,57","62,64","7,3","53,44",55,"2,66",32,71,1.162,10,"0,39","0,343","0,235","2,2",1,"0,015","0,074","2,589","0,516","0,143",10,14,,3.604,180,,,2.163,,,,"4,33",,,"3,1","0,017","0,074","0,074",,USDA
39,Buah dan Jus,Aprikot kaleng kemasan air dengan kulit padatan dan cairan,"92,36",27,"0,71","0,16","0,38","6,39","1,6","4,79",8,"0,32",7,13,192,3,"0,11","0,082","0,053","0,1","3,4","0,021","0,023","0,395","0,092","0,054",2,2,,1.959,98,,,1.170,11,,26,"0,6",,,"2,2","0,011","0,069","0,031",,USDA
40,Buah dan Jus,Aprikot kaleng kemasan sirup berat tanpa kulit padatan dan cairan,"77,66",83,"0,51","0,09","0,29","21,45","1,6",,9,"0,43",8,13,134,11,"0,1","0,065","0,051",,"2,8","0,019","0,023","0,416","0,092","0,054",2,,,1.240,62,,,,,,,,,,,"0,006","0,037","0,017",,USDA
41,Buah dan Jus,Aprikot kaleng kemasan sirup ringan dengan kulit padatan dan cairan,"86,3",49,"0,6","0,1","0,5","12,5","1,6",,10,"0,3",6,12,140,2,"0,08","0,04","0,052",,4,"0,02","0,02","0,6","0,092","0,054",2,,,1.271,64,,,,,,,,,,,"0,007","0,043","0,02",,USDA
42,Buah dan Jus,Aprikot kaleng paket air tanpa kulit padatan dan cairan,"93,43",22,"0,69","0,03","0,38","5,48","1,1",,8,"0,54",9,16,154,11,"0,11","0,068","0,053",,"1,8","0,02","0,024","0,437","0,092","0,054",2,,,1.810,91,,,,,,,,,,,"0,002","0,013","0,006",,USDA
43,Buah dan Jus,Aprikot kaleng paket jus dengan kulit padatan dan cairan,"86,62",48,"0,63","0,04","0,37","12,34","1,6","10,74",12,"0,3",10,20,165,4,"0,11","0,054","0,052","0,1","4,9","0,018","0,019","0,344","0,092","0,054",2,2,,1.691,85,,,1.010,10,,26,"0,6",,,"2,2","0,003","0,017","0,007",,USDA
44,Buah dan Jus,Aprikot kaleng paket sirup berat dengan kulit padatan dan cairan,"77,56",83,"0,53","0,08","0,37","21,47","1,6","19,87",9,"0,3",7,12,140,4,"0,11","0,078","0,051","0,1","3,1","0,02","0,022","0,376","0,092","0,054",2,2,,1.230,62,,,735,7,,26,"0,6",,,"2,2","0,005","0,033","0,015",,USDA
45,Buah dan Jus,Aprikot kaleng paket sirup ekstra berat tanpa kulit padatan dan cairan,"74,33",96,"0,55","0,04","0,23","24,85","1,6",,8,"0,62",8,15,126,13,"0,1","0,064","0,05",,"2,4","0,016","0,022","0,34","0,092","0,054",2,,,1.471,74,,,,,,,,,,,"0,003","0,017","0,008",,USDA
46,Buah dan Jus,Aprikot kaleng paket sirup ringan dengan kulit padatan dan cairan,"82,56",63,"0,53","0,05","0,37","16,49","1,6","14,89",11,"0,39",8,13,138,4,"0,11","0,079","0,052","0,1","2,7","0,016","0,02","0,304","0,092","0,054",2,2,,1.322,66,,,789,7,,26,"0,6",,,"2,2","0,003","0,021","0,01",,USDA
47,Buah dan Jus,Aprikot kaleng sirup berat dikeringkan,"77,56",83,"0,64","0,11","0,38","21,31","2,7","18,65",10,"0,3",7,13,143,4,"0,11","0,097",,"0,1","3,1","0,021","0,024","0,376",,"0,055",2,3,,2.924,146,,,1.746,16,,39,"0,89",,,"3,3","0,007","0,045","0,021",,USDA
48,Buah dan Jus,Aprikot mentah,"86,35",48,"1,4","0,39","0,75","11,12",2,"9,24",13,"0,39",10,23,259,1,"0,2","0,078","0,077","0,1",10,"0,03","0,04","0,6","0,24","0,054",9,3,,1.926,96,,19,1.094,104,,89,"0,89",,,"3,3","0,027","0,17","0,077",,USDA
49,Buah dan Jus,Asam jawa mentah,"31,4",239,"2,8","0,6","2,7","62,5","5,1","38,8",74,"2,8",92,113,628,28,"0,1","0,086",,"1,3","3,5","0,428","0,152","1,938","0,143","0,066",14,9,,30,2,,,18,,,,"0,1",,,"2,8","0,272","0,181","0,059",,USDA
50,Buah dan Jus,Asam nectar kalengan,"84,97",57,"0,09","0,12","0,09","14,73","0,5","12,7",10,"0,75",4,2,27,7,"0,02","0,014","0,02",,"7,1","0,003","0,003","0,07","0,037","0,007",1,1,,,,,,,,,,"0,12",,,"0,1",,,,,USDA
51,Buah dan Jus,Belimbing Manis (Carambola) mentah,"91,38",31,"1,04","0,33","0,52","6,73","2,8","3,98",3,"0,08",10,12,133,2,"0,12","0,137","0,037","0,6","34,4","0,014","0,016","0,367","0,391","0,017",12,8,,61,3,,24,25,,,66,"0,15",,,,"0,019","0,03","0,184",,USDA
52,Buah dan Jus,Bidara dikeringkan,"20,19",281,"4,72","0,5","2,08","72,52",6,,63,"5,09",,68,217,5,"0,39","0,233","31,067",,"217,6","0,047","0,053",,,,,,,,,,,,,,,,,,,,,,,USDA
53,Buah dan Jus,Bidara mentah,"77,86",79,"1,2","0,2","0,51","20,23",,,21,"0,48",10,23,250,3,"0,05","0,073","0,084",,69,"0,02","0,04","0,9",,"0,081",,,,40,2,,,,,,,,,,,,,,,USDA
54,Buah dan Jus,Blackberry beku tanpa pemanis,"82,21",64,"1,18","0,43","0,51","15,67",5,"10,67",29,"0,8",22,30,140,1,"0,25","0,12","1,223","0,4","3,1","0,029","0,046","1,207","0,151","0,061",34,9,,114,6,,,68,,,118,"1,17",,,"19,8","0,015","0,041","0,245",,USDA
55,Buah dan Jus,Blackberry kaleng sirup padatan dan cairan,"75,06",92,"1,31","0,14","0,39","23,1","3,4","19,7",21,"0,65",17,14,99,3,"0,18","0,133","0,697","0,3","2,8","0,027","0,039","0,287","0,151","0,036",27,6,,219,11,,,131,,,79,"0,78",,,"13,3","0,005","0,014","0,08",,USDA
56,Buah dan Jus,Blackberry mentah,"88,15",43,"1,39","0,49","0,37","9,61","5,3","4,88",29,"0,62",20,22,162,1,"0,53","0,165","0,646","0,4",21,"0,02","0,026","0,646","0,276","0,03",25,9,,214,11,,,128,,,118,"1,17",,,"19,8","0,014","0,047","0,28",,USDA
57,Buah dan Jus,Blewah mentah,"90,15",34,"0,84","0,19","0,65","8,16","0,9","7,86",9,"0,21",12,15,267,16,"0,18","0,041","0,041","0,4","36,7","0,041","0,019","0,734","0,105","0,072",21,8,,3.382,169,,16,2.020,1,,26,"0,05",,,"2,5","0,051","0,003","0,081",,USDA
58,Buah dan Jus,Blueberry beku manis,"77,4",85,"0,4","0,13","0,12","21,95","2,2","19,72",6,"0,39",2,7,60,1,"0,06","0,039","0,262","0,2",1,"0,02","0,052","0,253","0,125","0,059",7,6,,49,2,,,30,,,73,"0,52",,,"17,7","0,011","0,018","0,057",,USDA
59,Buah dan Jus,Blueberry beku tanpa pemanis,"86,59",51,"0,42","0,64","0,18","12,17","2,7","8,45",8,"0,18",5,11,54,1,"0,07","0,033","0,147","0,1","2,5","0,032","0,037","0,52","0,125","0,059",7,5,,46,2,,,28,,,68,"0,48",,,"16,4","0,053","0,091","0,279",,USDA
60,Buah dan Jus,Blueberry dikeringkan dimaniskan,"14,8",317,"2,5","2,5","0,73",80,"7,5","67,5",19,"0,9",18,36,214,3,"0,49","0,16",,"0,6","23,8","0,092","0,127","1,154",,"0,152",12,19,,141,7,,,84,,,208,"2,35",,,"59,4","0,2","0,405","1,3",,USDA
61,Buah dan Jus,Blueberry kaleng sirup berat padatan dan cairan,"76,78",88,"0,65","0,33","0,17","22,06","1,6","20,46",5,"0,33",4,10,40,3,"0,07","0,053","0,203","0,1","1,1","0,034","0,053","0,113","0,089","0,036",2,4,,36,2,,,22,,,53,"0,38",,,"6,4","0,027","0,047","0,144",,USDA
62,Buah dan Jus,Blueberry kaleng sirup ringan tiriskan,"75,72",88,"1,04","0,4","0,18","22,66","2,6","17,45",6,"0,43",4,12,54,3,"0,09","0,053","0,44","0,1","0,5","0,046","0,132","0,363","0,041","0,049",2,4,,36,2,,,22,,,53,"1,38",,,"19,9","0,028","0,062","0,19",,USDA
63,Buah dan Jus,Blueberry liar beku,"85,8",57,,"0,16","0,19","13,85","4,4",,17,"0,58",7,13,68,3,"0,67",,"2,87",,"1,7","0,03","0,007","0,61",,"0,02",,,,59,3,,2,35,,,,"0,26",,,,"0,03","0,02","0,09",,USDA
64,Buah dan Jus,Blueberry liar kalengan sirup berat tiriskan,"70,63",107,"0,56","0,34","0,15","28,32","4,9","19,28",19,"2,2",6,14,46,1,"0,12",,"2,3",,"0,3","0,033","0,313","0,469","0,041","0,035",8,,,,,,,,,,,,,,"14,8",,,,,USDA
65,Buah dan Jus,Blueberry mentah,"84,21",57,"0,74","0,33","0,24","14,49","2,4","9,96",6,"0,28",6,12,77,1,"0,16","0,057","0,336","0,1","9,7","0,037","0,041","0,418","0,124","0,052",6,6,,54,3,,,32,,,80,"0,57",,,"19,3","0,028","0,047","0,146",,USDA
66,Buah dan Jus,Boysenberry beku tanpa pemanis,"85,9",50,"1,1","0,26","0,54","12,19","5,3","6,89",27,"0,85",16,27,139,1,"0,22","0,08","0,547","0,2","3,1","0,053","0,037","0,767","0,25","0,056",63,10,,67,3,,,40,,,118,"0,87",,,"7,8","0,009","0,025","0,148",,USDA
67,Buah dan Jus,Boysenberry kaleng sirup berat,"76,26",88,"0,99","0,12","0,32","22,31","2,6",,18,"0,43",11,10,90,3,"0,19","0,07","0,25","0,4","6,2","0,026","0,029","0,23","0,131","0,038",34,,,40,2,,,,,,,,,,,"0,004","0,012","0,068",,USDA
68,Buah dan Jus,Buah ara dikeringkan direbus,"69,8",107,"1,42","0,4","0,8","27,57","4,2","23,35",70,"0,88",29,29,294,4,"0,24","0,124","0,22","0,2","4,4","0,011","0,11","0,64","0,127","0,133",1,7,,4,,,,3,,,14,"0,15",,,"6,7","0,062","0,068","0,149",,USDA
69,Buah dan Jus,Buah ara dikeringkan mentah,"30,05",249,"3,3","0,93","1,86","63,87","9,8","47,92",162,"2,03",68,67,680,10,"0,55","0,287","0,51","0,6","1,2","0,085","0,082","0,619","0,434","0,106",9,16,,10,,,,6,,,32,"0,35",,,"15,6","0,144","0,159","0,345",,USDA
70,Buah dan Jus,Buah ara kaleng paket air padatan dan cairan,"85,21",53,"0,4","0,1","0,3","13,99","2,2","11,79",28,"0,29",10,10,103,1,"0,12","0,11","0,088","0,1",1,"0,023","0,038","0,445","0,069","0,07",2,3,,38,2,,,23,,,7,"0,08",,,"3,3","0,02","0,022","0,048",,USDA
71,Buah dan Jus,Buah ara kaleng paket sirup berat padatan dan cairan,"76,33",88,"0,38","0,1","0,29","22,9","2,2","20,7",27,"0,28",10,10,99,1,"0,11","0,106","0,084","0,2",1,"0,022","0,037","0,428","0,069","0,07",2,5,,37,2,,,22,,,11,"0,12",,,"5,3","0,02","0,022","0,048",,USDA
72,Buah dan Jus,Buah ara kaleng paket sirup ekstra berat padatan dan cairan,"71,39",107,"0,38","0,1","0,28","27,86",,,26,"0,28",10,10,97,1,"0,11","0,103","0,083",,1,"0,022","0,036","0,419","0,069",,,,,36,2,,,,,,,,,,,"0,02","0,022","0,047",,USDA
73,Buah dan Jus,Buah ara kaleng paket sirup ringan padatan dan cairan,"81,26",69,"0,39","0,1","0,3","17,95","1,8","16,15",27,"0,29",10,10,102,1,"0,11","0,108","0,086","0,2",1,"0,022","0,038","0,437","0,069","0,07",2,4,,37,2,,,22,,,8,"0,1",,,"4,2","0,02","0,022","0,048",,USDA
74,Buah dan Jus,Buah ara mentah,"79,11",74,"0,75","0,3","0,66","19,18","2,9","16,26",35,"0,37",17,14,232,1,"0,15","0,07","0,128","0,2",2,"0,06","0,05","0,4","0,3","0,113",6,5,,142,7,,,85,,,9,"0,11",,,"4,7","0,06","0,066","0,144",,USDA
75,Buah dan Jus,Buah delima mentah,"77,93",83,"1,67","1,17","0,53","18,7",4,"13,67",10,"0,3",12,36,236,3,"0,35","0,158","0,119","0,5","10,2","0,067","0,053","0,293","0,377","0,075",38,8,,,,,,,,,,"0,6",,,"16,4","0,12","0,093","0,079",,USDA
76,Buah dan Jus,Buah Kiwi hijau mentah,"83,07",61,"1,14","0,52","0,61","14,66",3,"8,99",34,"0,31",17,34,312,3,"0,14","0,13","0,098","0,2","92,7","0,027","0,025","0,341","0,183","0,063",25,8,,87,4,,,52,,,122,"1,46",,,"40,3","0,029","0,047","0,287",,USDA
77,Buah dan Jus,Buah Kiwi Zespri Sungold Mentah,"82,44",63,"1,02","0,28","0,47","15,79","1,4","12,3",17,"0,21",12,25,315,3,"0,08","0,151","0,048","0,4","161,3",,"0,074","0,231","0,12","0,079",31,2,"0,08",23,1,,,14,,,24,"1,4",,,"6,1","0,065","0,023","0,111",,USDA
78,Buah dan Jus,Buah persik didehidrasi (kelembaban rendah) belerang tidak dimasak,"7,5",325,"4,89","1,03","3,39","83,18",,,38,"5,51",57,162,1.351,10,"0,78","0,493","0,413",,"10,6","0,039","0,11","4,825","0,522","0,159",7,,,1.417,71,,,,,,,,,,,"0,111","0,377","0,498",,USDA
79,Buah dan Jus,Bubur naranjilla (lulo) beku tanpa pemanis,"93,05",25,"0,44","0,22","0,39","5,9","1,1","3,74",8,"0,35",11,12,200,4,"0,1","0,028","0,067","0,4","3,2","0,045",,"1,45","0,22","0,107",3,,,568,28,,4,333,10,,299,"0,75",,,"14,6",,,,,USDA
80,Buah dan Jus,Bubur/bubuk Prem,30,257,"2,1","0,2","2,6","65,1","3,3",39,31,"2,8",,72,852,23,,,,,"4,3","0,04",,"2,5","0,43",,,,,2.000,100,,,,,,,,,,,"0,016",,,,USDA
81,Buah dan Jus,Campuran jus cranberry jus 100% botol dengan tambahan vitamin C dan kalsium,"88,6",45,"0,27","0,12","0,1","10,91","0,1","9,8",19,"0,08",5,8,76,6,"0,05","0,016","0,067","0,1","31,5","0,005","0,015","0,094",,"0,018",18,2,,25,1,,,15,,,68,"0,01",,,,"0,002","0,002","0,002",,USDA
82,Buah dan Jus,Campuran Jus Jeruk Merah Ruby (Grapefruit Grape Apple) Ocean Spray Botol dengan Tambahan Vitamin C,"88,6",44,"0,5","0,1","0,27","10,53","0,2","10,3",10,"0,14",,,94,8,,,,,"49,2",,,,,,,,,129,6,,,77,,116,,,,,,"0,008","0,008","0,014",,USDA
83,Buah dan Jus,Campuran jus apel dan anggur dengan tambahan asam askorbat,"87,05",50,"0,16","0,12","0,22","12,46","0,2","10,92",11,"0,11",7,9,96,7,"0,05","0,01","0,041","0,1","28,2","0,006","0,015","0,087","0,035","0,021",,2,,4,,,,2,,,33,"0,01",,,"0,2","0,023","0,005","0,032",,USDA
84,Buah dan Jus,Campuran jus apel anggur dan pir dengan tambahan asam askorbat dan kalsium,"86,44",52,"0,17","0,12","0,31","12,96","0,2","9,95",72,"0,14",6,11,89,5,"0,06","0,013","0,086","0,1","50,7","0,005","0,015","0,094","0,03","0,018",,2,,1,,,,,,,16,"0,01",,,,"0,021","0,005","0,04",,USDA
85,Buah dan Jus,Carissa (natalprem) mentah,"84,17",62,"0,5","1,3","0,4","13,63",,,11,"1,31",16,7,260,3,,"0,21",,,38,"0,04","0,06","0,2",,,,,,40,2,,,,,,,,,,,,,,,USDA
